UUID,Date,Description,Category,Amount,Note
A51CB819-092F-4DAA-BC90-2CF08EDDA84F,2024-11-03,Flowers,Groceries,10.75,
60DA8D9C-B60F-4317-A97F-B60678068518,2024-11-04,Gas,Transportation,40,
75BFDC8D-2D0B-44AC-B302-478F9435DB68,2024-11-04,Sushi,Dining Out,106,
E1E14D9E-BC65-4D7F-8E91-98A55A0ED3DC,2024-11-05,Wine,Entertainment,13,
15E87264-AAE0-481A-86D6-C7BA03C643C8,2024-11-06,Walmart Groceries,Groceries,25,
2B7FED5A-AD62-4BDA-A2C8-BA5B525DAB6F,2024-11-06,Home needs,Home,14,
93783D57-34FB-4061-91EB-005E9B3E52D6,2024-11-06,Coffee creamer,Groceries,7.4,
899402C2-033D-4955-9423-7277E454C0D1,2024-11-07,Cox,Utilities,50,
779B1ECF-8730-42E2-969C-25FB9F383A51,2024-11-08,Ralphs,Groceries,22.07,
CCD9736D-36A5-4CDF-A81B-CDFE4F590DED,2024-11-08,Espresso martini,Entertainment,50,
E42C73C5-F28F-4F82-9DF5-BDEEF617DE47,2024-11-08,Miranda dinner,Groceries,20.05,
514B88E0-E4D4-42B9-AAE2-5AEF325EF202,2024-11-08,Beaumonts cover,Entertainment,10,
46F0F24F-2431-45D9-B17D-8376AB237C92,2024-11-09,Titos,Entertainment,27,
6FCE52A1-C79B-4C3F-8B59-A9360215213C,2024-11-09,Snow gloves,Entertainment,35,
F4CC6F36-76FC-4950-8404-D8225DDBE5B4,2024-11-09,Snow goggles,Entertainment,75,
DD42C6CD-50BA-4F42-AFC2-1670B7563258,2024-11-09,Good night john boys,Entertainment,10,
98DBABFD-F3F4-4190-9F64-92EAC8836F87,2024-11-10,Uber,Transportation,43,
FEAC6B52-8A33-4D3B-B5A1-0A3378AB90D3,2024-11-10,Sauce,Groceries,25,
96BD37EA-3AE8-473D-8864-EADDD1485B62,2024-11-10,Lahina,Entertainment,37,
4E38DAD6-0FC6-4D7E-9A7E-FD75504806BB,2024-11-10,Poke bowl,Dining Out,27,
13494D1D-518A-471D-8D33-EF7F8727F272,2024-11-11,Ralphs,Groceries,17,
FC47A999-9637-48FD-B6AD-0AC635726486,2024-11-12,Haircut,Home,37,
73C93861-E323-4F07-A11B-F691219ADAA9,2024-11-12,Costco,Groceries,134.17,
A182C295-AC16-4AEB-A92F-4362DCD75D4E,2024-11-12,San francisco,,438,
CC30EEE1-F1AA-4775-98AA-CDB00EDF5F50,2024-11-12,San Francisco,Excess,434,
C803BD99-3727-4423-A8D6-E192FCC60D3C,2024-11-12,Flight home,Transportation,393,
F2312AA2-81A5-4495-9A3E-DDF1025ED510,2024-11-13,Snacks,Groceries,10.82,
A6E4B8FC-202B-4A4D-98EE-028D92FCEB85,2024-11-14,Ralphs,Groceries,18.64,
BCE812C4-26BF-446F-A9D9-D6047B039841,2024-11-18,Walmart,Home,39.93,
BE336AD8-79B9-4CE2-817C-D5251F79EFC6,2024-11-18,Coffee pitcher,Home,10.9,
D771920A-52CB-4EBB-87CF-D0B1366037B3,2024-11-18,Grilled Cheese,,21.41,
BE2AB7A6-6405-4C72-B5EC-670D6E6F3BB6,2024-11-18,Sushi,Dining Out,26,
81C778DC-E599-45A7-8A99-C4A7192B8323,2024-11-18,Food for miranda,Dining Out,21,
5EC0667B-C412-4DBF-BC23-2DE96C3BDE69,2024-11-20,Sdge,Utilities,91.41,
8851325C-7863-48BA-8726-37E0F02CF9BB,2024-11-20,Classpass,Entertainment,19,
6B4074DD-9D8A-452E-BCA4-4A4E99307F3E,2024-11-20,Panda Express,Dining Out,12.63,
2F1FBA73-29C2-40E2-9020-793E8A333DFC,2024-11-20,Guitar cable,Entertainment,5.41,
A017E52A-5350-47D2-97C4-028F77724ACC,2024-11-21,Spotify,Entertainment,13.41,
34415266-7EDC-4B97-95C9-C659F17E3948,2024-11-21,Vodoo,Groceries,14,
72F29C67-A8EC-4E91-B73E-8E128D54361E,2024-11-22,Cali burrito,Dining Out,17,
8E36B41A-F06F-46E1-BB3D-E62B8576DBEC,2024-11-22,Larking,Transportation,5,
70523DA5-1382-4145-A6D3-B98005CDEF42,2024-11-23,Richs cover,Entertainment,7,
7052BD7F-FA12-4DC9-8860-552E10DBEFEB,2024-11-23,Gossip grill,Entertainment,20.05,
1A2099B1-D808-4297-96D9-1536DE57F369,2024-11-23,Siamo Napoli,Entertainment,41.58,
A57E0356-4725-4332-9EDB-1AA73E186FD9,2024-11-23,Ice,Groceries,3,
5308122A-778F-4D04-B560-8768595078C9,2024-11-24,Tree,Excess,30,
B8BB1039-A9AC-4A32-B30A-1393DEF47BA1,2024-11-25,Taco stand,Dining Out,28.08,
4053A48D-0424-41E2-962F-332B931D9E93,2024-11-26,Friendsgiving,Groceries,60,
B92D4A3E-EFAB-4BA3-8427-AAE38CC8FDB1,2024-11-26,Gloves,Excess,19.38,
C2C1CE3D-AC43-49EF-8C74-DD9EC5387C75,2024-11-27,Taco stand,Dining Out,12.51,
6855FB99-8F10-48C8-BAC6-0710BFC13142,2024-11-27,Christmas Decorations,Home,41.41,
1140E5F5-411B-4462-A1A3-40D24881E639,2024-11-28,Thanksgiving dinner,Dining Out,55.2,
451765EE-009E-46A3-B1DE-0C39228CEA25,2024-11-29,Uber,Transportation,29.89,
26E7E7D3-D447-4BF9-90A7-344029BED524,2024-11-29,Ornament hanger,Home,3,
CC43EEA1-02C9-4AF8-AC48-9426067654B6,2024-11-29,Taco stand,Dining Out,15,
497177F6-7278-4DA3-99A8-8E580C6B1E6E,2024-11-29,Cvs,Groceries,3.87,
1BF5ED15-4BB9-4069-BE84-5E6220B9EFB0,2024-11-29,ChatGpt,Utilities,20,
AEB83F0F-9482-4DC9-9D69-2386ED5C68B6,2024-12-01,Creamer,Groceries,10.89,
097E9D90-803D-4B7F-98CC-5443D9317CEF,2024-12-02,Furniture,Home,45,Used card credits
123B920D-A01C-4396-9467-D262D55D1BDB,2024-12-02,Lululemon,Christmas,337.38,
307E0D46-834A-429C-85AC-F94A51668076,2024-12-02,iphone,Excess,610,
41FE6CC5-0F4F-4B5B-99D3-AED8F6A68F93,2024-12-03,Christmas food,Excess,27,
A3FA19FF-7479-46C5-A15C-9EFB232D4049,2024-12-03,Taco Stand,Dining Out,11,
22DB2D38-F445-46D1-AC59-AE9454D3490F,2024-12-03,Gas,Transportation,40,
BFBE3800-60EC-4182-953E-588EFEF161BB,2024-12-05,Ralphs,Groceries,63.44,
DC94115E-A1F5-4601-9547-717AF75D0845,2024-12-06,Beer,Entertainment,6,
F0F82C8D-2B31-4B51-8183-8954D9647011,2024-12-06,Parking Sea World,Transportation,16,
A955D249-E571-49EA-BA2B-20818DBDA43A,2024-12-06,Ralphs,Groceries,14.06,
48FB9DCA-02C7-42D0-B20F-42455E735FAA,2024-12-07,Jameson,Excess,21.95,
580EE9F4-8429-4453-8D90-617D68C39685,2024-12-08,Milkshake,Dining Out,11.54,
C34DD1ED-A17C-436C-9E99-FEB99C368597,2024-12-08,CVS,Groceries,3.58,
682C9CFC-F66A-48FC-8A11-6A45ED47E1E7,2024-12-09,Rosemonts,Dining Out,35,
CA3BCAAE-0C49-440A-A874-F5BCEE05B52D,2024-12-11,Del Dinner,Dining Out,53,
0407B6D4-2169-4F5D-A92D-F04BD9B50E60,2024-12-11,Walmart groceries,Groceries,41.8,
105C2C8B-32DE-46E6-B0AC-DC41196A27FC,2024-12-11,Mugs,Christmas,38.5,
21230CBD-8D55-4DD9-A99B-CD963FAEB7FF,2024-12-11,Entertaining randis friends,Excess,45,
821FE2E2-18DC-4574-927B-899AECF15E8A,2024-12-11,Flowers,Groceries,10,
F8DB1E12-976E-43D8-839E-FFD2D0F514D1,2024-12-11,Costco food,Groceries,70,
CB231604-E14D-400D-AF11-D4E4DFB3461B,2024-12-12,ChatGPT,Utilities,20,
21C60D87-AD90-4CB2-B968-7C6C0F2B418A,2024-12-12,Cox,Utilities,50,
0AA6B998-39C0-4FD0-A7EF-6B19857B3367,2024-12-12,Brewery,Dining Out,10.22,
DAE302F4-B6CE-4918-8422-DFCC99087F7C,2024-12-13,Good night john boy,Entertainment,20,
1A234766-67A1-464D-A109-88C285460E38,2024-12-13,Hot Chocolate Martinis,Entertainment,20.23,
F137A68F-7554-4086-B3BE-76D30A078192,2024-12-14,Happy does,Entertainment,11,
6ED8954A-A2A9-4EB5-B7A5-0A73F99F797F,2024-12-15,Coffee Date,Dining Out,15.44,
BAED6DD6-2273-4F44-A916-33060069FCFF,2024-12-15,Roach Trap,Home,10,
80DB0FFB-657A-4E01-97E9-2FF4CE2CCA79,2024-12-15,Speaker/Spoon/License,Christmas,78,
B387E4B4-B3A2-4C4D-917B-DBE9D4A36470,2024-12-18,Haircut,Home,16,
0EFFF41C-8B7E-428E-BBB8-F2B513BDEA30,2024-12-19,Cox,Utilities,50,
C11246B8-395F-4DD7-A788-E43290F889F1,2024-12-19,Presents,Christmas,38.75,
CBEC2E49-4847-45E3-96FE-03CBD07B8F0C,2024-12-19,Wrapping paper,Christmas,5.38,
AFD9C20C-2B06-42B5-BDC8-1562594ED092,2024-12-19,Vuori Present,Christmas,135,
A5BC1288-B586-4E47-81D6-B6DF72C3573E,2024-12-19,Vuori Shirt/Short,Home,70,
74F5A525-431C-49C3-8BBB-DD6E845D7719,2024-12-19,Keychain,Christmas,6.46,
03D6B8BE-C900-49A2-A88E-D1083A234B13,2024-12-19,Pasta,Groceries,20,
727CEB0B-5797-4CF6-BC40-9BE06F5675AB,2024-12-19,Stocking stuffer,Christmas,24,
8380C3F6-392C-4893-93E1-2802F0DF89A7,2024-12-19,Parking,Transportation,16,
80D92AE3-DBBF-4963-A160-6777A85FA034,2024-12-20,Christmas Ornament,Christmas,19.58,
21F0CEC4-67C6-4E38-A6FE-9B35EB8D5387,2024-12-20,Latte,Dining Out,7.46,
EB9CBC79-4F6A-4D96-957C-6EC4723BB29C,2024-12-20,Water at KSAN,Groceries,5,
DD933421-BCA1-49B9-98EE-76E4D629C1EA,2024-12-20,Bagel/Coffee,,10,
